lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0078,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HPA0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
HPA0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0086,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HPA0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0089,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HPA0090,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HPA0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0092,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
HPA0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0099,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HPA0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0105,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0107,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
HPA0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0111,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0118,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
HPA0119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HPA0120,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HPA0121,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
HPA0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0129,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HPA0130,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
HPA0131,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
HPA0132,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
HPA0133,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0135,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0137,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0138,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
HPA0139,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0140,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0142,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
HPA0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
